13 2321 12010
1 353 -0.0358111 -0.0521872
0 354 -0.0280536 -0.0570412
1 354 -0.012296 -0.0485467
0 355 -0.0183566 -0.0521872
1 355 -0.00381108 -0.0436928
0 356 0.0180072 -0.0424793
1 356 0.0313405 -0.0351983
0 357 -0.012296 -0.0351983
1 357 0.00346165 -0.0279173
0 358 -0.0195687 -0.0339848
1 358 -0.00381108 -0.0267038
0 359 -0.00865961 -0.0339848
1 359 0.00709804 -0.0267038
0 360 -0.0498718 -0.0242768
1 360 -0.0377506 -0.0161869
0 361 0.0240677 -0.00971491
1 361 0.0386132 -0.00243394
0 362 -0.00987171 -0.00728793
1 362 0.00709804 -6.95205e-06
0 363 -0.00987171 -0.00364743
1 363 0.0058859 0.00363352
0 364 -0.0656294 0.0181955
1 364 -0.0462354 0.0254764
0 365 -0.0789628 0.0206225
1 365 -0.0595688 0.0291169
0 366 -0.0559324 0.0254764
1 366 -0.0365384 0.0327574
0 367 -0.0838113 0.0279034
1 367 -0.0644173 0.0351844
0 368 -0.081387 0.0291169
1 368 -0.0607809 0.0363979
0 369 -0.0583567 0.0327574
1 369 -0.0401748 0.0400384
0 370 -0.110478 0.0363979
1 370 -0.0925386 0.0439216
0 371 -0.0547203 0.0388249
1 371 -0.0353263 0.0461058
0 372 -0.0935082 0.0412519
1 372 -0.0729022 0.0485328
0 373 -0.0510839 0.0412519
1 373 -0.0316899 0.0485328
0 374 -0.0850234 0.0424653
1 374 -0.0656294 0.0497463
0 375 -0.0329021 0.0424653
1 375 -0.0155283 0.0495441
0 376 -0.106842 0.0497463
1 376 -0.0874477 0.0570273
0 377 0.0325526 0.0546003
1 377 0.045886 0.0606678
0 378 -0.0316899 0.0558138
1 378 -0.0135081 0.0630948
0 379 0.0349769 0.0558138
1 379 0.0483102 0.0618813
0 380 -0.0704779 0.0570273
1 380 -0.0498718 0.0643082
0 381 -0.0510839 0.0594543
1 381 -0.03169 0.0667352
0 382 -0.115326 0.0618813
1 382 -0.0969022 0.0686768
0 383 -0.0983568 0.0618813
1 383 -0.0777506 0.0691623
0 384 -0.112902 0.0630948
1 384 -0.0939931 0.070133
0 385 -0.0498718 0.0643082
1 385 -0.0329021 0.0715892
0 386 -0.0886598 0.0679487
1 386 -0.0680537 0.0752297
0 387 -0.0850234 0.0679487
1 387 -0.0644173 0.0752297
0 388 -0.0232051 0.0679487
1 388 -0.00845761 0.0748252
0 389 -0.0995689 0.0691623
1 389 -0.0801749 0.0764432
0 390 -0.0704779 0.0691623
1 390 -0.0498718 0.0752297
0 391 -0.0559324 0.0728027
1 391 -0.0389627 0.0788702
0 392 0.00103741 0.0728027
1 392 0.0155829 0.0788702
0 393 -0.021993 0.101927
1 393 -0.00623536 0.106781
0 394 -0.0280536 0.107994
1 394 -0.012296 0.112848
0 395 -0.0280536 0.118915
1 395 -0.012296 0.124983
0 396 -0.0232051 0.12377
1 396 -0.00744746 0.129837
0 397 0.0640679 0.13105
1 397 0.0761891 0.135904
0 398 -0.07169 0.137118
1 398 -0.0561748 0.142943
0 399 -0.0292657 0.138331
1 399 -0.0135081 0.143185
0 400 0.0204314 0.138331
1 400 0.0349769 0.143185
0 401 -0.0256293 0.139545
1 401 -0.0110838 0.144399
0 402 0.0119465 0.146826
1 402 0.026492 0.15168
0 403 -0.041387 0.163815
1 403 -0.0268415 0.168669
0 404 -0.0510839 0.169882
1 404 -0.0353263 0.174736
0 405 0.074977 0.184444
1 405 0.0864921 0.188085
0 406 0.0713406 0.209928
1 406 0.0822497 0.213568
0 407 -0.0571446 0.214782
1 407 -0.0438112 0.219636
0 408 0.0143708 0.225703
1 408 0.0289163 0.229344
0 409 -0.0256293 -0.235668
1 409 -0.0125384 -0.225474
0 410 -0.0227202 -0.0915044
1 410 -0.0081747 -0.0827673
0 411 -0.0227202 -0.0783987
1 411 -0.0081747 -0.0696615
0 412 0.0165526 -0.065293
1 412 0.0301284 -0.0570412
0 413 -0.0372657 -0.0623806
1 413 -0.0212656 -0.0542259
0 414 -0.00235652 -0.0594682
1 414 0.0136435 -0.050731
0 415 -0.0183565 -0.0521872
1 415 -0.00381108 -0.0434501
0 416 -0.0183565 -0.0332567
1 416 -0.00381108 -0.0259757
0 417 -0.0110838 -0.0318005
1 417 0.00491621 -0.0245195
0 418 -0.0198111 -0.0070452
1 418 -0.00381108 0.000235755
0 419 -0.0110838 -0.0070452
1 419 0.00491621 0.000235755
0 420 -0.00526563 -0.0070452
1 420 0.0107344 0.000235755
0 421 0.00491621 -0.00558902
1 421 0.0209163 0.00169195
0 422 -0.0125384 -0.00267662
1 422 0.00346169 0.00460433
0 423 -0.0809022 0.0191663
1 423 -0.061993 0.0264473
